YOLO,DE,FR,NL,CH,BE
maxspeed:130,DE:274-130,FR:B14[130],NL:A01-130,CH:2.30[130],BE:C43[130]
maxspeed:15,DE:274-15,FR:B14[15],NL:A01-15,CH:2.30[15],BE:C43[15]
maxspeed:20,DE:274-20,FR:B14[20],NL:A01-20,CH:2.30[20],BE:C43[20]
maxspeed:25,DE:274-25,FR:B14[25],NL:A01-25,CH:2.30[25],BE:C43[25]
maxspeed:30,DE:274-30,FR:B14[30],NL:A01-30,CH:2.30[30],BE:C43[30]
maxspeed:40,DE:274-40,FR:B14[40],NL:A01-40,CH:2.30[40],BE:C43[40]
maxspeed:5,DE:274-5,FR:B14[5],NL:A01-5,CH:2.30[5],BE:C43[5]
maxspeed:50,DE:274-50,FR:B14[50],NL:A01-50,CH:2.30[50],BE:C43[50]
maxspeed:60,DE:274-60,FR:B14[60],NL:A01-60,CH:2.30[60],BE:C43[60]
maxspeed:70,DE:274-70,FR:B14[70],NL:A01-70,CH:2.30[70],BE:C43[70]
maxspeed:80,DE:274-80,FR:B14[80],NL:A01-80,CH:2.30[80],BE:C43[80]
maxspeed:90,DE:274-90,FR:B14[90],NL:A01-90,CH:2.30[90],BE:C43[90]
maxspeed:end,DE:278,FR:B33,NL:A02,CH:2.53,BE:C45
maxweight,DE:262,FR:B13,NL:C21,CH:2.16,BE:C21
maxwidth,DE:264,FR:B11,NL:C18,CH:2.18,BE:C27
min_distance,DE:273,FR:B17,,CH:2.47,
min_speed,,FR:B25,,CH:2.31,
min_speed:end,,FR:B43,,CH:2.54,
motorway:end,DE:330.2,FR:C,NL:G02,CH:4.02,BE:F7
motorway:start,DE:330.1,,NL:G01,CH:4.01,BE:F5
no_agriculture,DE:257-58,FR:B9d,NL:C08,,BE:C8
no_animals,DE:257-53,,,,
no_bicycle,DE:254,FR:B9b,NL:C14,CH:2.05,BE:C11
no_bus,DE:257-54,FR:B9f,NL:C07-A,CH:2.08,BE:C22
no_car_motorcycle,DE:260,FR:B7a,NL:C12,,
no_car_trailer,DE:257-56,FR:B9i,,,BE:C30
no_car,DE:251,,NL:C06,CH:2.03,BE:C5
no_dangerous_liquid,DE:269,FR:B18b,,CH:2.11,BE:C24c
no_dangerous,DE:261,FR:B18c,NL:C22,CH:2.10.1,BE:C24a
no_dangerous_explosive,,FR:B18a,,,BE:C24b
no_entry,DE:267,FR:B1,NL:C02,CH:2.02,BE:C1
no_exit,DE:357,FR:C13a,NL:L08,CH:4.09,BE:F45
no_exit:car,DE:357-5x,FR:C13d,,CH:4.10,BE:F45b
no_hgv_trailer,DE:257-57,,,,
no_hgv,DE:253,FR:B8,NL:C07,CH:2.07,BE:C23
no_horn,,FR:B16,,,
no_horse,DE:257-51,,,CH:2.12,BE:C15
no_horse_vehicle,,,,,BE:C13
no_moped,DE:257-50,,NL:C13,CH:2.06,BE:C9
no_motorcycle,DE:255,,NL:C11,CH:2.04,BE:C7
no_motorhome,,,NL:C07-C,,
no_motor_vehicle,,,,CH:2.14,
no_motor_vehicle2,,,,CH:2.13,
no_overtaking,DE:276,FR:B3,NL:F01,CH:2.44,BE:C35
no_overtaking:end,DE:280,,NL:F02,CH:2.55,BE:C37
no_overtaking:hgv,DE:277,FR:B3a,NL:F03,CH:2.45,BE:C39
no_overtaking:end:hgv,DE:281,,NL:F04,CH:2.56,BE:C41
no_parking,DE:286,FR:B6a1,NL:E01,CH:2.50,BE:E1
no_parking:1-15,,FR:B6a2,,,BE:E5
no_parking:16-31,,FR:B6a3,,,BE:E7
no_pedestrian,DE:259,FR:B9a,NL:C16,CH:2.15,BE:C19
no_roller,,,,CH:2.15.3,
no_sledging,,,,CH:2.15.2,
no_skiing,,,,CH:2.15.1,
